track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,lm1_x,lm1_y,lm2_x,lm2_y,lm3_x,lm3_y,lm4_x,lm4_y,lm5_x,lm5_y,lm6_x,lm6_y,lm7_x,lm7_y,lm8_x,lm8_y,lm9_x,lm9_y,lm10_x,lm10_y,lm11_x,lm11_y,lm12_x,lm12_y,lm13_x,lm13_y,lm14_x,lm14_y,lm15_x,lm15_y,lm16_x,lm16_y
3,1024,437,1326,666,0,0,0,0,0,0,0,0,1184,505,1199,546,1136,548,1255,597,1090,589,1246,573,1086,544,1154,646,1114,651,0,0,1171,574,0,0
2,615,248,796,550,733,315,737,303,719,306,0,0,686,310,745,358,657,366,776,425,648,440,783,404,697,390,744,502,685,510,0,0,0,0,0,0
1,22,239,232,700,103,298,101,288,92,290,0,0,67,295,91,332,65,345,132,370,91,402,169,353,149,371,129,461,114,472,156,556,155,568,163,647
3,1024,436,1326,668,0,0,0,0,0,0,0,0,1177,509,1229,543,1116,555,0,0,1038,609,1266,568,1047,552,1174,635,1101,647,0,0,0,0,0,0
1,23,239,232,700,102,298,101,287,90,290,0,0,65,294,92,332,64,344,130,374,85,403,163,358,142,373,130,461,112,472,154,557,152,567,162,648
3,1021,436,1326,668,0,0,0,0,0,0,0,0,0,0,1224,540,1118,545,1296,606,1050,608,1253,576,1073,539,1152,627,1089,633,0,0,0,0,0,0
1,23,239,232,700,105,298,0,0,93,289,0,0,67,294,92,332,65,345,133,370,88,399,165,351,143,364,129,461,113,472,155,556,154,567,161,648
3,1021,436,1325,663,0,0,0,0,0,0,0,0,1189,498,1161,547,1165,550,1221,591,1138,586,1242,568,1131,544,1141,640,1150,645,1205,556,1216,562,0,0
1,23,239,231,700,106,298,0,0,94,290,0,0,67,294,91,333,66,345,132,372,88,400,165,352,143,365,129,462,113,473,154,557,154,568,160,648
3,1020,435,1324,664,0,0,0,0,0,0,0,0,1195,493,1133,538,1189,542,1172,577,1177,580,1212,550,1162,551,1131,621,1173,624,1196,555,1232,556,1176,592
1,23,240,231,700,104,299,0,0,92,290,0,0,66,295,90,333,66,345,130,372,87,400,164,352,141,367,126,459,111,470,154,554,155,565,158,647
3,1020,431,1322,660,0,0,0,0,0,0,0,0,1201,496,1097,533,1210,548,1044,562,1238,598,1064,519,1226,569,1097,620,1171,627,1134,564,1218,569,0,0
1,22,240,231,700,105,300,0,0,94,291,0,0,67,296,90,333,65,345,130,373,85,404,164,353,141,370,128,463,113,474,154,556,155,567,159,648
3,1016,430,1324,659,0,0,0,0,0,0,1149,489,1202,494,1104,541,1221,552,1043,569,1260,599,1071,521,1247,570,1098,637,1175,640,0,0,0,0,0,0
2,616,262,842,562,727,326,732,313,711,318,0,0,679,327,745,365,662,383,767,429,654,446,757,415,715,381,763,512,706,527,0,0,791,506,0,0
1,21,241,231,700,105,300,0,0,94,291,0,0,69,294,84,332,66,344,124,378,83,407,163,361,136,380,123,464,113,475,150,558,154,569,157,649
3,1017,430,1322,661,0,0,0,0,0,0,0,0,1199,490,1103,531,1218,542,1040,560,1254,592,1064,519,1244,571,1105,625,1181,629,0,0,0,0,0,0
2,615,263,849,563,728,327,732,313,712,318,0,0,678,327,742,365,661,383,763,429,655,447,754,412,716,379,761,511,707,527,0,0,801,505,0,0
1,21,242,231,700,106,300,0,0,95,292,0,0,69,296,82,332,66,346,124,375,84,407,164,358,134,378,123,464,115,476,152,558,155,569,158,648
3,1017,430,1324,660,0,0,0,0,0,0,0,0,1203,493,1101,533,1215,548,1038,560,1250,596,1061,529,0,0,1099,620,1171,627,1159,552,0,0,0,0
2,619,262,847,562,726,327,731,313,709,318,0,0,677,328,746,366,665,386,766,430,658,448,756,414,717,378,768,512,713,528,0,0,798,509,0,0
1,21,243,231,700,105,301,0,0,94,293,0,0,69,297,82,333,67,346,125,374,86,406,165,357,134,378,123,465,115,476,151,559,155,570,158,648
3,1017,429,1323,660,0,0,0,0,0,0,0,0,1204,493,1101,531,1213,547,1039,558,1243,596,1065,527,1243,576,1092,615,1162,623,1152,559,1220,566,0,0
2,619,263,849,563,726,327,731,313,708,319,0,0,676,329,745,365,664,386,765,426,657,448,753,403,717,378,768,511,713,528,0,0,801,506,0,0
1,21,242,231,699,105,300,0,0,94,292,0,0,69,296,82,333,67,346,124,374,85,406,164,356,132,380,122,465,114,476,150,558,155,569,158,648
3,1016,429,1323,661,0,0,0,0,0,0,0,0,1204,494,1100,532,1215,549,1039,556,1246,597,1064,524,0,0,1088,616,1161,624,0,0,0,0,0,0
2,623,264,853,569,724,330,731,316,708,319,0,0,680,328,747,372,669,385,766,420,652,435,755,400,709,383,769,514,716,526,844,461,804,475,0,0
1,21,243,231,699,105,300,0,0,94,292,0,0,68,296,81,333,66,347,125,372,86,407,166,354,133,379,122,464,114,475,152,556,156,568,158,646
3,1017,429,1323,660,0,0,0,0,0,0,0,0,1205,495,1101,532,1213,549,1040,556,1239,598,1066,524,0,0,1093,615,1164,622,0,0,0,0,0,0
